City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,huzhou,30.8703,120.0933,24.76,88,100,5.25,CN,1690477275
200,pathein,16.7833,94.7333,27.02,87,59,3.66,MM,1690477275
201,rikaze,29.25,88.8833,12.74,73,84,1.1,CN,1690476750
202,maumere,-8.6199,122.2111,23.96,79,64,3.57,ID,1690477276
203,weno,7.4515,151.8468,28.38,77,97,6.48,FM,1690477276
204,zag,46.9441,99.165,14.61,49,67,2.11,MN,1690477276
205,nantucket,41.2835,-70.0995,29.03,85,0,7.2,US,1690476754
206,ceylanpinar,36.8472,40.05,38.59,11,0,4.78,TR,1690477277
207,banda aceh,5.5577,95.3222,26.46,84,59,5.51,ID,1690476635
208,murray bridge,-35.1167,139.2667,15.07,84,77,5.58,AU,1690477277
209,itoman,26.1247,127.6694,29.01,84,75,6.17,JP,1690477277
210,wailua homesteads,22.0669,-159.378,24.3,85,67,0.45,US,1690477278
211,kurchatov,51.6601,35.6521,27.23,63,87,1.29,RU,1690477278
212,nova sintra,14.8667,-24.7167,22.8,83,22,6.22,CV,1690477279
213,shimoda,34.6667,138.95,25.61,88,84,2.38,JP,1690477279
214,al hillah,32.4801,44.4353,41.15,7,0,3.7,IQ,1690477279
215,burang,30.25,81.1667,11.71,84,97,2.23,CN,1690477279
216,san luis de la loma,17.2706,-100.8939,32.58,54,62,3.9,MX,1690477280
217,luganville,-15.5333,167.1667,22.44,82,100,5.67,VU,1690477280
218,geraldton,-28.7667,114.6,11.23,100,100,0.51,AU,1690477280
219,el quebrachal,-25.2833,-64.0667,20.62,38,98,1.27,AR,1690477281
220,fort st. john,56.2499,-120.8529,14.94,82,75,4.63,CA,1690476707
221,tula de allende,20.05,-99.35,20.58,55,68,2.96,MX,1690477249
222,saint-joseph,-21.3667,55.6167,19.21,70,90,3.22,RE,1690477281
223,mar del plata,-38.0023,-57.5575,9.01,70,100,3.6,AR,1690477282
224,marcellina,42.0251,12.8058,28.66,47,20,7.15,IT,1690477282
225,tindouf,27.6711,-8.1474,42.25,9,0,8.23,DZ,1690477282
226,saint-philippe,-21.3585,55.7679,19.77,71,82,4.09,RE,1690477282
227,puerto ayora,-0.7393,-90.3518,30.98,85,65,2.68,EC,1690477283
228,bethanie,-26.4833,17.15,17.66,16,0,5.11,NA,1690477283
229,caazapa,-26.15,-56.4,22.62,55,57,1.22,PY,1690477284
230,chos malal,-37.3781,-70.2709,9.78,50,99,2.89,AR,1690477284
231,tsiombe,-25.3,45.4833,18.75,62,0,6.45,MG,1690477284
232,salihli,38.4826,28.1477,27.83,45,0,6.63,TR,1690477285
233,sao vicente,-23.9631,-46.3919,30.1,54,75,4.12,BR,1690477285
234,kavieng,-2.5744,150.7967,27.61,82,47,5.66,PG,1690477286
